BLOCK	ACTUAL_P	P_AVE	ERROR
464	1.42277	1.50931	0.00557111
465	1.60847	1.50953	0.0055632
466	1.51143	1.50953	0.00555127
467	1.56137	1.50964	0.00554049
468	1.41951	1.50945	0.005532
469	1.33431	1.50908	0.00553279
470	1.59045	1.50925	0.00552373
471	1.47111	1.50917	0.0055126
472	1.5176	1.50919	0.00550094
473	1.14814	1.50842	0.00554202
474	1.51836	1.50844	0.00553037
475	1.70382	1.50885	0.005534
476	1.2164	1.50824	0.00555638
477	1.68265	1.50861	0.00555675
478	1.40099	1.50838	0.00554968
479	1.37529	1.5081	0.00554504
480	1.6347	1.50837	0.00553976
481	1.34402	1.50803	0.00553877
482	1.51719	1.50804	0.00552731
483	1.5014	1.50803	0.00551589
484	2.03197	1.50911	0.00560971
485	1.60314	1.50931	0.00560149
486	1.46501	1.50922	0.00559071
487	1.66694	1.50954	0.0055886
488	1.69591	1.50992	0.00559018
489	1.55358	1.51001	0.00557946
490	1.38877	1.50976	0.00557356
491	1.47407	1.50969	0.00556268
492	1.30495	1.50927	0.00556692
493	1.41942	1.50909	0.00555861
494	1.78253	1.50965	0.00557485
495	1.61195	1.50985	0.00556742
496	1.53716	1.50991	0.00555646
497	1.35051	1.50959	0.00555453
498	1.34091	1.50925	0.0055537
499	1.4818	1.50919	0.00554284
500	1.6502	1.50948	0.00553892
501	1.45408	1.50936	0.00552897
502	1.49195	1.50933	0.00551806
503	1.65014	1.50961	0.00551419
504	1.32811	1.50925	0.005515
505	1.53305	1.5093	0.00550428
506	1.50946	1.5093	0.0054934
507	1.59371	1.50946	0.00548509
508	1.59914	1.50964	0.00547713
509	1.38279	1.50939	0.00547204
510	1.47099	1.50932	0.00546182
511	1.64507	1.50958	0.00545759
512	1.35318	1.50928	0.00545548
513	1.37717	1.50902	0.00545092
514	1.63715	1.50927	0.00544601
515	1.3111	1.50888	0.00544901
516	1.50454	1.50887	0.00543846
517	1.54304	1.50894	0.00542834
518	1.4357	1.5088	0.0054197
519	1.55101	1.50888	0.00540987
520	1.35348	1.50858	0.00540771
521	1.34324	1.50826	0.00540664
522	1.35585	1.50797	0.00540416
523	1.4149	1.50779	0.00539675
524	1.55138	1.50788	0.0053871
525	1.3986	1.50767	0.00538086
526	1.50465	1.50766	0.00537063
527	1.26367	1.5072	0.00538036
528	1.34752	1.5069	0.00537866
529	1.66837	1.5072	0.00537715
530	1.60585	1.50739	0.00537022
531	1.61111	1.50758	0.00536366
532	1.42878	1.50744	0.00535562
533	1.62441	1.50766	0.00535007
534	1.68554	1.50799	0.00535041
535	1.6507	1.50826	0.00534705
536	1.40661	1.50807	0.00534044
537	1.53337	1.50811	0.0053307
538	1.49313	1.50809	0.00532087
539	1.35152	1.5078	0.00531892
540	1.44594	1.50768	0.0053103
541	1.47092	1.50761	0.00530092
542	1.70237	1.50797	0.00530331
543	1.43643	1.50784	0.00529517
544	1.23709	1.50734	0.00530878
545	1.45269	1.50724	0.00529998
546	1.40038	1.50705	0.00529389
547	1.67319	1.50735	0.00529292
548	2.00742	1.50826	0.00536135
549	1.8161	1.50882	0.00538082
550	1.43572	1.50869	0.00537268
551	1.49471	1.50867	0.00536299
552	1.50308	1.50866	0.00535328
553	1.71245	1.50902	0.00535627
554	1.31956	1.50868	0.00535751
555	1.61582	1.50887	0.00535133
556	1.56032	1.50897	0.00534251
557	1.47641	1.50891	0.00533324
558	1.33409	1.5086	0.00533287
559	1.99674	1.50947	0.00539436
560	1.49001	1.50943	0.00538484
561	1.45892	1.50934	0.00537599
562	1.37259	1.5091	0.00537193
563	1.22568	1.5086	0.00538592
564	1.52048	1.50862	0.00537642
565	1.86777	1.50925	0.00540435
566	1.55924	1.50934	0.00539552
567	1.32896	1.50902	0.00539537
568	1.58661	1.50916	0.0053876
569	1.37651	1.50893	0.00538318
570	1.55925	1.50902	0.00537446
571	1.4254	1.50887	0.00536704
572	1.52681	1.5089	0.00535775
573	1.4963	1.50888	0.00534844
574	1.57409	1.50899	0.00534033
575	1.49153	1.50896	0.00533113
576	1.4903	1.50893	0.00532197
577	1.34907	1.50865	0.00531996
578	1.44306	1.50854	0.00531196
579	1.54505	1.5086	0.00530316
580	1.7475	1.50901	0.00530999
581	1.53386	1.50906	0.00530102
582	1.45732	1.50897	0.00529266
583	1.46495	1.50889	0.00528412
584	1.37721	1.50867	0.00527988
585	1.37528	1.50844	0.00527578
586	1.58647	1.50857	0.00526845
587	1.45998	1.50849	0.00526013
588	1.42746	1.50835	0.00525299
589	1.368	1.50811	0.00524947
590	1.64934	1.50835	0.00524603
591	1.43882	1.50823	0.00523847
592	1.5668	1.50833	0.00523056
593	1.49776	1.50832	0.00522177
594	1.46037	1.50824	0.0052136
595	1.42954	1.5081	0.00520651
596	1.4847	1.50806	0.00519793
597	1.52015	1.50808	0.00518926
598	1.64023	1.5083	0.00518529
599	1.63697	1.50852	0.00518108
600	1.48126	1.50847	0.00517264
601	1.49115	1.50845	0.00516411
602	1.47234	1.50839	0.00515588
603	1.32583	1.50808	0.00515621
604	1.50663	1.50808	0.00514768
605	1.24074	1.50764	0.0051581
606	1.32977	1.50734	0.00515793
607	1.53868	1.5074	0.00514969
608	1.54515	1.50746	0.0051416
609	1.5521	1.50753	0.00513368
610	1.50141	1.50752	0.00512527
611	1.45419	1.50743	0.00511763
612	1.34766	1.50717	0.00511592
613	1.4225	1.50704	0.00510944
614	1.34747	1.50678	0.00510772
615	1.6338	1.50698	0.00510359
616	1.41786	1.50684	0.00509735
617	1.58745	1.50697	0.00509077
618	1.49262	1.50694	0.00508258
619	1.55506	1.50702	0.00507497
620	1.42305	1.50689	0.00506859
621	1.34869	1.50663	0.00506682
622	1.47297	1.50658	0.00505897
623	1.68133	1.50686	0.00505862
624	1.33873	1.50659	0.00505768
625	1.5263	1.50662	0.00504969
626	1.52032	1.50664	0.00504167
627	1.37276	1.50643	0.00503815
628	1.39393	1.50625	0.00503331
629	1.38941	1.50606	0.00502873
630	1.52657	1.5061	0.00502085
631	1.39739	1.50592	0.00501585
632	1.33768	1.50566	0.00501498
633	1.41678	1.50552	0.00500902
634	1.57807	1.50563	0.00500242
635	1.64857	1.50586	0.00499961
636	1.51178	1.50587	0.00499176
637	1.38499	1.50568	0.00498753
638	1.50581	1.50568	0.00497971
639	1.49078	1.50565	0.00497197
640	1.4269	1.50553	0.00496572
641	1.58004	1.50565	0.00495934
642	1.32824	1.50537	0.0049593
643	1.3992	1.50521	0.00495434
644	1.40699	1.50505	0.00494899
645	1.69923	1.50535	0.00495047
646	1.33796	1.5051	0.00494958
647	1.54026	1.50515	0.00494223
648	1.43188	1.50504	0.0049359
649	1.52101	1.50506	0.00492835
650	1.42603	1.50494	0.00492227
651	1.31936	1.50465	0.00492296
652	1.38764	1.50447	0.00491868
653	1.73358	1.50483	0.00492364
654	1.3797	1.50463	0.00491983
655	1.54726	1.5047	0.00491275
656	1.4245	1.50458	0.00490678
657	1.61625	1.50475	0.00490225
658	1.31967	1.50447	0.00490287
659	1.43839	1.50437	0.00489645
660	1.37945	1.50418	0.00489269
661	1.67021	1.50443	0.00489173
662	1.4255	1.50431	0.00488579
663	1.46505	1.50425	0.00487878
664	1.53603	1.5043	0.00487167
665	1.43518	1.50419	0.00486545
666	1.55868	1.50427	0.00485884
667	1.61606	1.50444	0.00485444
668	1.38469	1.50426	0.00485048
669	1.60996	1.50442	0.0048458
670	1.436	1.50432	0.00483965
671	1.47827	1.50428	0.00483259
672	1.46494	1.50422	0.00482575
