BLOCK	ACTUAL_P	P_AVE	ERROR
733	1.5294	1.49674	0.00493189
734	1.59061	1.49687	0.00492682
735	1.76102	1.49723	0.00493321
736	1.67377	1.49747	0.00493234
737	1.36344	1.49729	0.004929
738	1.56395	1.49738	0.00492315
739	1.54149	1.49744	0.00491684
740	1.49252	1.49743	0.00491021
741	1.69881	1.4977	0.00491109
742	1.32355	1.49747	0.00491008
743	1.59378	1.4976	0.00490518
744	1.51758	1.49763	0.00489866
745	1.76616	1.49799	0.00490533
746	1.49684	1.49798	0.00489876
747	1.3743	1.49782	0.004895
748	1.63704	1.498	0.00489199
749	1.44692	1.49794	0.00488593
750	1.49286	1.49793	0.00487942
751	1.57162	1.49803	0.00487391
752	1.47495	1.498	0.00486753
753	1.43232	1.49791	0.00486185
754	1.68204	1.49815	0.00486153
755	1.48044	1.49813	0.00485514
756	1.55046	1.4982	0.00484921
757	1.81964	1.49862	0.00486136
758	1.59106	1.49875	0.00485648
759	1.72229	1.49904	0.004859
760	1.55498	1.49911	0.00485317
761	1.55864	1.49919	0.00484742
762	1.38779	1.49905	0.00484326
763	1.39244	1.49891	0.00483893
764	1.56939	1.499	0.00483348
765	1.54231	1.49906	0.00482749
766	1.5136	1.49907	0.00482123
767	1.5811	1.49918	0.00481613
768	1.30701	1.49893	0.00481635
769	1.42294	1.49883	0.0048111
770	1.40862	1.49872	0.00480628
771	1.41036	1.4986	0.00480141
