Gen	Best	Mean	Err
456	67.0575	67.0575	1.90735e-06
457	67.0575	67.0575	1.90735e-06
458	67.0575	67.0575	1.90735e-06
459	67.0575	67.0575	1.90735e-06
460	67.0575	67.0575	1.90735e-06
461	67.0575	67.0575	1.90735e-06
462	67.0575	67.0575	1.90735e-06
463	67.0575	67.0575	1.90735e-06
464	67.0575	67.0575	1.90735e-06
465	67.0575	67.0575	1.90735e-06
466	67.0575	67.0575	1.90735e-06
467	67.0575	67.0575	1.90735e-06
468	67.0575	67.0575	1.90735e-06
469	67.0575	67.0575	1.90735e-06
470	67.0575	67.0575	1.90735e-06
471	67.0575	67.0575	1.90735e-06
472	67.0575	67.0575	1.90735e-06
473	67.0575	67.0575	1.90735e-06
474	67.0575	67.0575	1.90735e-06
475	67.0575	67.0575	1.90735e-06
476	67.0575	67.0575	1.90735e-06
477	67.0575	67.0575	1.90735e-06
478	67.0044	67.0044	1.3487e-06
479	67.0044	67.0044	1.3487e-06
480	67.0044	67.0044	1.3487e-06
481	67.0044	67.0044	1.3487e-06
482	67.0044	67.0044	1.3487e-06
483	67.0044	67.0044	1.3487e-06
484	67.0044	67.0044	1.3487e-06
485	67.0044	67.0044	1.3487e-06
486	67.0044	67.0044	1.3487e-06
487	67.0044	67.0044	1.3487e-06
488	67.0044	67.0044	1.3487e-06
489	67.0044	67.0044	1.3487e-06
490	67.0044	67.0044	1.3487e-06
491	67.0044	67.0044	1.3487e-06
492	67.0044	67.0044	1.3487e-06
493	66.5753	66.5753	2.13248e-06
494	66.5753	66.5753	2.13248e-06
495	66.5753	66.5753	2.13248e-06
496	66.5753	66.5753	2.13248e-06
497	66.5753	66.5753	2.13248e-06
498	66.5753	66.5753	2.13248e-06
499	66.5753	66.5753	2.13248e-06
500	66.5753	66.5753	2.13248e-06
501	65.932	65.932	3.01578e-06
502	65.8146	65.8146	2.6974e-06
503	65.4358	65.4358	2.52319e-06
504	65.4358	65.4358	2.52319e-06
505	65.4358	65.4358	2.52319e-06
506	65.4358	65.4358	2.52319e-06
507	65.4358	65.4358	2.52319e-06
508	65.4358	65.4358	2.52319e-06
509	65.4358	65.4358	2.52319e-06
510	65.4358	65.4358	2.52319e-06
511	65.4358	65.4358	2.52319e-06
512	65.4358	65.4358	2.52319e-06
513	65.4358	65.4358	2.52319e-06
514	65.4358	65.4358	2.52319e-06
515	65.4358	65.4358	2.52319e-06
516	65.4358	65.4358	2.52319e-06
517	65.4358	65.4358	2.52319e-06
518	65.4358	65.4358	2.52319e-06
519	65.4358	65.4358	2.52319e-06
520	65.4358	65.4358	2.52319e-06
521	65.4358	65.4358	2.52319e-06
522	65.4358	65.4358	2.52319e-06
523	65.4358	65.4358	2.52319e-06
524	65.4358	65.4358	2.52319e-06
525	65.4358	65.4358	2.52319e-06
526	65.4358	65.4358	2.52319e-06
527	65.4358	65.4358	2.52319e-06
528	65.4358	65.4358	2.52319e-06
529	65.4358	65.4358	2.52319e-06
530	65.4358	65.4358	2.52319e-06
531	65.4358	65.4358	2.52319e-06
532	65.4358	65.4358	2.52319e-06
533	65.4358	65.4358	2.52319e-06
534	65.4358	65.4358	2.52319e-06
535	65.4358	65.4358	2.52319e-06
536	65.1138	65.1138	2.6974e-06
537	65.1138	65.1138	2.6974e-06
538	65.1138	65.1138	2.6974e-06
539	65.1138	65.1138	2.6974e-06
540	65.1138	65.1138	2.6974e-06
541	65.1138	65.1138	2.6974e-06
542	65.1138	65.1138	2.6974e-06
543	65.1138	65.1138	2.6974e-06
544	65.1138	65.1138	2.6974e-06
545	65.1138	65.1138	2.6974e-06
546	65.1138	65.1138	2.6974e-06
547	65.1138	65.1138	2.6974e-06
548	65.1138	65.1138	2.6974e-06
549	65.1138	65.1138	2.6974e-06
550	65.1138	65.1138	2.6974e-06
551	65.1138	65.1138	2.6974e-06
552	65.1138	65.1138	2.6974e-06
553	65.1138	65.1138	2.6974e-06
554	65.1138	65.1138	2.6974e-06
555	65.1138	65.1138	2.6974e-06
556	65.1138	65.1138	2.6974e-06
557	65.1138	65.1138	2.6974e-06
558	65.1138	65.1138	2.6974e-06
559	65.1138	65.1138	2.6974e-06
560	65.1138	65.1138	2.6974e-06
561	65.1138	65.1138	2.6974e-06
562	65.1138	65.1138	2.6974e-06
563	65.1138	65.1138	2.6974e-06
564	65.1138	65.1138	2.6974e-06
565	65.1138	65.1138	2.6974e-06
566	65.1138	65.1138	2.6974e-06
567	65.1138	65.1138	2.6974e-06
568	65.1138	65.1138	2.6974e-06
569	65.1138	65.1138	2.6974e-06
570	65.1138	65.1138	2.6974e-06
571	65.1138	65.1138	2.6974e-06
572	65.1138	65.1138	2.6974e-06
573	65.1138	65.1138	2.6974e-06
574	65.1138	65.1138	2.6974e-06
575	65.1138	65.1138	2.6974e-06
576	65.1138	65.1138	2.6974e-06
577	65.1138	65.1138	2.6974e-06
578	65.1138	65.1138	2.6974e-06
579	65.1138	65.1138	2.6974e-06
580	65.1138	65.1138	2.6974e-06
581	65.1138	65.1138	2.6974e-06
582	65.1138	65.1138	2.6974e-06
583	65.1138	65.1138	2.6974e-06
584	65.1138	65.1138	2.6974e-06
585	65.1138	65.1138	2.6974e-06
586	65.1138	65.1138	2.6974e-06
587	65.1138	65.1138	2.6974e-06
588	65.1138	65.1138	2.6974e-06
589	65.1138	65.1138	2.6974e-06
590	65.1138	65.1138	2.6974e-06
591	65.1138	65.1138	2.6974e-06
592	65.1138	65.1138	2.6974e-06
593	65.1138	65.1138	2.6974e-06
594	65.1138	65.1138	2.6974e-06
595	65.1138	65.1138	2.6974e-06
596	65.1138	65.1138	2.6974e-06
597	65.1138	65.1138	2.6974e-06
598	65.1138	65.1138	2.6974e-06
599	65.1138	65.1138	2.6974e-06
600	65.1138	65.1138	2.6974e-06
601	64.486	64.486	1.3487e-06
602	64.486	64.486	1.3487e-06
603	64.486	64.486	1.3487e-06
604	64.486	64.486	1.3487e-06
